Cycles,Time,CPU Frequency,GFLOPS, CPE
5038.000000, 2000.0000000000, 2519000000.000000, 1.024000, 2.4599609375
5030.000000, 2000.0000000000, 2515000000.000000, 1.024000, 2.4560546875
5009.000000, 2000.0000000000, 2504500000.000000, 1.024000, 2.4458007812
4997.000000, 2000.0000000000, 2498500000.000000, 1.024000, 2.4399414062
4997.000000, 2000.0000000000, 2498500000.000000, 1.024000, 2.4399414062
4932.000000, 1900.0000000000, 2595789473.684210, 1.077895, 2.4082031250
4938.000000, 2000.0000000000, 2469000000.000000, 1.024000, 2.4111328125
5003.000000, 2000.0000000000, 2501500000.000000, 1.024000, 2.4428710938
4938.000000, 1900.0000000000, 2598947368.421052, 1.077895, 2.4111328125
4932.000000, 2000.0000000000, 2466000000.000000, 1.024000, 2.4082031250
4934.000000, 2000.0000000000, 2467000000.000000, 1.024000, 2.4091796875
4995.000000, 2000.0000000000, 2497500000.000000, 1.024000, 2.4389648438
4912.000000, 2000.0000000000, 2456000000.000000, 1.024000, 2.3984375000
5038.000000, 2000.0000000000, 2519000000.000000, 1.024000, 2.4599609375
4892.000000, 2000.0000000000, 2446000000.000000, 1.024000, 2.3886718750
4987.000000, 2000.0000000000, 2493500000.000000, 1.024000, 2.4350585938
4887.000000, 2000.0000000000, 2443500000.000000, 1.024000, 2.3862304688
4888.000000, 2000.0000000000, 2444000000.000000, 1.024000, 2.3867187500
5016.000000, 2000.0000000000, 2508000000.000000, 1.024000, 2.4492187500
5015.000000, 2000.0000000000, 2507500000.000000, 1.024000, 2.4487304688
