Cycles,Time,CPU Frequency,GFLOPS, CPE
5342493.000000, 2140500.0000000000, 2495908899.789769, 0.979749, 2.5474991798
5516751.000000, 2210200.0000000000, 2496041534.702742, 0.948852, 2.6305918694
5470979.000000, 2191900.0000000000, 2495998448.834344, 0.956774, 2.6087660789
5034089.000000, 2016899.9999999998, 2495953691.308444, 1.039790, 2.4004406929
5275849.000000, 2113799.9999999995, 2495907370.612168, 0.992124, 2.5157208443
5402383.000000, 2164400.0000000000, 2496018758.085382, 0.968930, 2.5760569572
5326744.000000, 2134100.0000000000, 2496014244.880746, 0.982687, 2.5399894714
4716194.000000, 1889500.0000000000, 2496001058.481080, 1.109898, 2.2488565445
5316862.000000, 2130200.0000000005, 2495944981.691860, 0.984486, 2.5352773666
5318625.000000, 2130800.0000000000, 2496069551.342219, 0.984209, 2.5361180305
5400729.000000, 2163700.0000000000, 2496061838.517354, 0.969243, 2.5752682686
5332685.000000, 2136500.0000000000, 2495991106.950620, 0.981583, 2.5428223610
5380944.000000, 2155900.0000000000, 2495915394.962660, 0.972750, 2.5658340454
5344229.000000, 2141100.0000000000, 2496020269.954696, 0.979474, 2.5483269691
5402452.000000, 2164400.0000000000, 2496050637.590095, 0.968930, 2.5760898590
5341389.000000, 2140000.0000000000, 2495976168.224299, 0.979978, 2.5469727516
5350152.000000, 2143500.0000000000, 2495988803.358992, 0.978377, 2.5511512756
5621474.000000, 2252200.0000000005, 2495992363.022822, 0.931157, 2.6805276871
5339509.000000, 2139299.9999999995, 2495914084.046184, 0.980298, 2.5460762978
5337469.000000, 2138400.0000000000, 2496010568.649457, 0.980711, 2.5451035500
