Cycles,Time,CPU Frequency,GFLOPS, CPE
6529099.000000, 2615800.0000000005, 2496023778.576344, 0.801725, 3.1133170128
6715268.000000, 2690400.0000000000, 2496011002.081475, 0.779494, 3.2020893097
7275817.000000, 2914900.0000000000, 2496077738.515901, 0.719459, 3.4693799019
10599420.000000, 4246500.0000000000, 2496036736.135641, 0.493854, 5.0541973114
6356297.000000, 2546600.0000000005, 2495993481.504751, 0.823511, 3.0309185982
7980778.000000, 3197400.0000000005, 2496021142.178020, 0.655893, 3.8055315018
8597572.000000, 3444500.0000000005, 2496029031.789810, 0.608841, 4.0996417999
11064768.000000, 4433000.0000000000, 2496000000.000000, 0.473077, 5.2760925293
13555679.000000, 5430500.0000000000, 2496211951.017402, 0.386180, 6.4638514519
12137870.000000, 4862900.0000000009, 2496014723.724526, 0.431255, 5.7877874374
11992051.000000, 4804500.0000000000, 2496003954.625872, 0.436497, 5.7182555199
9237930.000000, 3701100.0000000000, 2495995785.036881, 0.566629, 4.4049882889
8750978.000000, 3505900.0000000005, 2496071764.739439, 0.598178, 4.1727914810
8176811.000000, 3275999.9999999995, 2495974053.724054, 0.640156, 3.8990073204
9553004.000000, 3827300.0000000000, 2496016512.946464, 0.547946, 4.5552272797
8213438.000000, 3290599.9999999995, 2496030511.152981, 0.637316, 3.9164724350
9472438.000000, 3794999.9999999995, 2496031093.544137, 0.552609, 4.5168104172
6231621.000000, 2496600.0000000000, 2496043018.505167, 0.840003, 2.9714684486
6184313.000000, 2477600.0000000000, 2496090167.904424, 0.846445, 2.9489102364
6045707.000000, 2422199.9999999995, 2495956981.256709, 0.865805, 2.8828177452
