Cycles,Time,CPU Frequency,GFLOPS, CPE
8425077.000000, 3375400.0000000000, 2496023286.129051, 0.621305, 4.0173897743
9601308.000000, 3846700.0000000005, 2495985650.037694, 0.545182, 4.5782604218
13566997.000000, 5435500.0000000000, 2495997976.267133, 0.385825, 6.4692482948
10109549.000000, 4050300.0000000005, 2496000049.379058, 0.517777, 4.8206086159
12116735.000000, 4854500.0000000009, 2495980018.539499, 0.432002, 5.7777094841
12051404.000000, 4828300.0000000000, 2495993206.718721, 0.434346, 5.7465572357
9652736.000000, 3867300.0000000005, 2495988415.690533, 0.542278, 4.6027832031
13798341.000000, 5528100.0000000009, 2496036793.835133, 0.379362, 6.5795617104
11544941.000000, 4625400.0000000000, 2495987590.262464, 0.453399, 5.5050568581
12061975.000000, 4832500.0000000000, 2496011381.272633, 0.433968, 5.7515978813
11325125.000000, 4537299.9999999991, 2496005333.568422, 0.462203, 5.4002404213
9444173.000000, 3783700.0000000000, 2496015276.052541, 0.554260, 4.5033326149
9077666.000000, 3636900.0000000000, 2495989991.476257, 0.576632, 4.3285684586
13740756.000000, 5505099.9999999991, 2496004795.553215, 0.380947, 6.5521030426
11798174.000000, 4726799.9999999991, 2496017178.640941, 0.443673, 5.6258077621
10638223.000000, 4262099.9999999991, 2496005020.999038, 0.492047, 5.0727000237
12345637.000000, 4946100.0000000000, 2496034653.565435, 0.424001, 5.8868584633
10950251.000000, 4387100.0000000000, 2496011260.285838, 0.478027, 5.2214865685
16022547.000000, 6419300.0000000000, 2495995980.870188, 0.326695, 7.6401457787
10009537.000000, 4010200.0000000005, 2496019400.528652, 0.522954, 4.7729191780
