Cycles,Time,CPU Frequency,GFLOPS, CPE
5134490.000000, 2057100.0000000000, 2495984638.568859, 1.019470, 2.4483156204
6815662.000000, 2730600.0000000005, 2496030908.957738, 0.768019, 3.2499608994
6232808.000000, 2497100.0000000000, 2496018581.554604, 0.839835, 2.9720344543
5873615.000000, 2353200.0000000000, 2496011813.700493, 0.891192, 2.8007578850
8556663.000000, 3428100.0000000000, 2496036580.029754, 0.611753, 4.0801348686
12619014.000000, 5055600.0000000009, 2496046760.028483, 0.414818, 6.0172147751
8370911.000000, 3353699.9999999995, 2496022601.902377, 0.625325, 3.9915614128
7126291.000000, 2855000.0000000000, 2496073905.429072, 0.734554, 3.3980803490
7183810.000000, 2878100.0000000005, 2496025155.484521, 0.728658, 3.4255075455
7012732.000000, 2809600.0000000000, 2495989464.692483, 0.746424, 3.3439311981
6876289.000000, 2754900.0000000000, 2496021271.189517, 0.761244, 3.2788701057
6178760.000000, 2475500.0000000000, 2495964451.625934, 0.847163, 2.9462623596
6781724.000000, 2716999.9999999995, 2496033860.875967, 0.771863, 3.2337779999
11324651.000000, 4537100.0000000000, 2496010888.012167, 0.462223, 5.4000144005
6842873.000000, 2741499.9999999995, 2496032463.979573, 0.764965, 3.2629361153
7407658.000000, 2967800.0000000000, 2496009838.937934, 0.706635, 3.5322465897
10870532.000000, 4355099.9999999991, 2496046474.248582, 0.481539, 5.1834735870
11211430.000000, 4491799.9999999991, 2495977113.851908, 0.466885, 5.3460264206
6187714.000000, 2479000.0000000000, 2496052440.500202, 0.845967, 2.9505319595
7223834.000000, 2894100.0000000000, 2496055423.102173, 0.724630, 3.4445924759
