Cycles,Time,CPU Frequency,GFLOPS, CPE
16591581.000000, 6647200.0000000009, 2496025544.590203, 0.315494, 7.9114823341
15701222.000000, 6290599.9999999991, 2495981623.374559, 0.333379, 7.4869260788
15068432.000000, 6036999.9999999991, 2496013251.615041, 0.347383, 7.1851882935
15047934.000000, 6028800.0000000000, 2496008160.828025, 0.347856, 7.1754140854
15972186.000000, 6399100.0000000000, 2496005063.212014, 0.327726, 7.6161317825
14954044.000000, 5991200.0000000000, 2496001468.820937, 0.350039, 7.1306438446
17306673.000000, 6933800.0000000000, 2495986760.506504, 0.302453, 8.2524647713
15097004.000000, 6048500.0000000009, 2495991402.827147, 0.346723, 7.1988124847
15616668.000000, 6256600.0000000000, 2496031071.188825, 0.335190, 7.4466075897
14643682.000000, 5866900.0000000000, 2495982887.044265, 0.357455, 6.9826517105
14985455.000000, 6003700.0000000000, 2496036610.756700, 0.349310, 7.1456217766
15746786.000000, 6308800.0000000000, 2496003360.385493, 0.332417, 7.5086526871
17257233.000000, 6914000.0000000000, 2495983945.617588, 0.303320, 8.2288899422
28545040.000000, 11436200.0000000000, 2496024903.376996, 0.183378, 13.6113357544
36347574.000000, 14562300.0000000000, 2496005026.678478, 0.144012, 17.3318738937
16120924.000000, 6458700.0000000000, 2496001362.503290, 0.324702, 7.6870555878
15611158.000000, 6254500.0000000000, 2495988168.518667, 0.335303, 7.4439802170
14689608.000000, 5885200.0000000009, 2496025283.762659, 0.356343, 7.0045509338
16205901.000000, 6492699.9999999991, 2496018759.529934, 0.323002, 7.7275757790
15059381.000000, 6033300.0000000000, 2496043790.297184, 0.347596, 7.1808724403
