Cycles,Time,CPU Frequency,GFLOPS, CPE
5905654.000000, 2366000.0000000000, 2496049873.203719, 0.886370, 2.8160352707
6069606.000000, 2431800.0000000000, 2495931408.832963, 0.862387, 2.8942136765
6017532.000000, 2410900.0000000005, 2495969140.155128, 0.869863, 2.8693828583
6482582.000000, 2597200.0000000000, 2495988757.123055, 0.807467, 3.0911359787
5980012.000000, 2395900.0000000000, 2495935556.575817, 0.875309, 2.8514919281
6719074.000000, 2692000.0000000000, 2495941307.578009, 0.779031, 3.2039041519
6654840.000000, 2666200.0000000005, 2496001800.315055, 0.786570, 3.1732749939
6735489.000000, 2698500.0000000005, 2496012229.016120, 0.777155, 3.2117314339
5504033.000000, 2205200.0000000000, 2495933702.158535, 0.951003, 2.6245274544
4841123.000000, 1939600.0000000002, 2495938853.371829, 1.081229, 2.3084273338
5264520.000000, 2109199.9999999995, 2495979518.300778, 0.994288, 2.5103187561
5906804.000000, 2366500.0000000005, 2496008451.299387, 0.886183, 2.8165836334
5714675.000000, 2289500.0000000000, 2496036252.456869, 0.915987, 2.7249693871
5262380.000000, 2108300.0000000000, 2496029976.758526, 0.994712, 2.5092983246
5290758.000000, 2119700.0000000000, 2495993772.703684, 0.989363, 2.5228300095
5436364.000000, 2177999.9999999995, 2496034894.398531, 0.962880, 2.5922603607
5329084.000000, 2135000.0000000005, 2496058079.625292, 0.982273, 2.5411052704
5573090.000000, 2232800.0000000000, 2496009494.804729, 0.939248, 2.6574563980
5990928.000000, 2400200.0000000000, 2496011999.000083, 0.873741, 2.8566970825
5852816.000000, 2344900.0000000000, 2495976800.716448, 0.894346, 2.7908401489
